type,typeLabelRu,traditionsCount,exampleTradition,country,countryLabelRu
http://www.wikidata.org/entity/Q132241,фестиваль,549,Тамборрада,http://www.wikidata.org/entity/Q29,Испания
http://www.wikidata.org/entity/Q132241,фестиваль,275,Аутфест,http://www.wikidata.org/entity/Q30,США
http://www.wikidata.org/entity/Q132241,фестиваль,256,Havmanndagene,http://www.wikidata.org/entity/Q20,Норвегия
http://www.wikidata.org/entity/Q132241,фестиваль,255,Айстедвод,http://www.wikidata.org/entity/Q145,Великобритания
http://www.wikidata.org/entity/Q132241,фестиваль,188,Series Mania,http://www.wikidata.org/entity/Q142,Франция
http://www.wikidata.org/entity/Q132241,фестиваль,184,Лагосский карнавал,http://www.wikidata.org/entity/Q1033,Нигерия
http://www.wikidata.org/entity/Q132241,фестиваль,180,Ава-одори,http://www.wikidata.org/entity/Q17,Япония
http://www.wikidata.org/entity/Q132241,фестиваль,164,Альмабтриб,http://www.wikidata.org/entity/Q39,Швейцария
http://www.wikidata.org/entity/Q132241,фестиваль,138,,http://www.wikidata.org/entity/Q117,Гана
http://www.wikidata.org/entity/Q132241,фестиваль,132,Рама-навами,http://www.wikidata.org/entity/Q668,Индия
http://www.wikidata.org/entity/Q132241,фестиваль,131,Ландсхутская свадьба,http://www.wikidata.org/entity/Q183,Германия
http://www.wikidata.org/entity/Q132241,фестиваль,127,Кинофестиваль в Торонто — 2007,http://www.wikidata.org/entity/Q16,Канада
http://www.wikidata.org/entity/Q132241,фестиваль,120,Impakt Festival,http://www.wikidata.org/entity/Q55,Нидерланды
http://www.wikidata.org/entity/Q132241,фестиваль,113,,http://www.wikidata.org/entity/Q31,Бельгия
http://www.wikidata.org/entity/Q132241,фестиваль,103,Бразильский карнавал,http://www.wikidata.org/entity/Q155,Бразилия
http://www.wikidata.org/entity/Q132241,фестиваль,96,Игнис Бруненсис,http://www.wikidata.org/entity/Q213,Чехия
http://www.wikidata.org/entity/Q82821,традиция,93,индуизм в Индонезии,http://www.wikidata.org/entity/Q252,Индонезия
http://www.wikidata.org/entity/Q2627975,церемония,93,Намахагэ,http://www.wikidata.org/entity/Q17,Япония
http://www.wikidata.org/entity/Q132241,фестиваль,91,Альмабтриб,http://www.wikidata.org/entity/Q38,Италия
http://www.wikidata.org/entity/Q132241,фестиваль,88,Уроки режиссуры,http://www.wikidata.org/entity/Q159,Россия
http://www.wikidata.org/entity/Q82821,традиция,87,Намахагэ,http://www.wikidata.org/entity/Q17,Япония
http://www.wikidata.org/entity/Q132241,фестиваль,80,Балткон,http://www.wikidata.org/entity/Q34,Швеция
http://www.wikidata.org/entity/Q82821,традиция,67,Пастуший прыжок,http://www.wikidata.org/entity/Q29,Испания
http://www.wikidata.org/entity/Q82821,традиция,63,Каларипаятту,http://www.wikidata.org/entity/Q668,Индия
http://www.wikidata.org/entity/Q132241,фестиваль,53,,http://www.wikidata.org/entity/Q408,Австралия
http://www.wikidata.org/entity/Q132241,фестиваль,52,Альмабтриб,http://www.wikidata.org/entity/Q36,Польша
http://www.wikidata.org/entity/Q132241,фестиваль,50,Международный фестиваль кино и музыки «Кустендорф»,http://www.wikidata.org/entity/Q403,Сербия
http://www.wikidata.org/entity/Q132241,фестиваль,49,,http://www.wikidata.org/entity/Q96,Мексика
http://www.wikidata.org/entity/Q132241,фестиваль,47,Битва наций,http://www.wikidata.org/entity/Q212,Украина
http://www.wikidata.org/entity/Q36192,фольклор,45,Пастуший прыжок,http://www.wikidata.org/entity/Q29,Испания
http://www.wikidata.org/entity/Q82821,традиция,44,Силат,http://www.wikidata.org/entity/Q55,Нидерланды
http://www.wikidata.org/entity/Q82821,традиция,43,фольклор США,http://www.wikidata.org/entity/Q30,США
http://www.wikidata.org/entity/Q132241,фестиваль,40,,http://www.wikidata.org/entity/Q884,Республика Корея
http://www.wikidata.org/entity/Q82821,традиция,37,бельгийский фольклор,http://www.wikidata.org/entity/Q31,Бельгия
http://www.wikidata.org/entity/Q132241,фестиваль,37,Рожен (фестиваль),http://www.wikidata.org/entity/Q219,Болгария
http://www.wikidata.org/entity/Q132241,фестиваль,36,Балткон,http://www.wikidata.org/entity/Q33,Финляндия
http://www.wikidata.org/entity/Q132241,фестиваль,34,Мелодия Евровидения,http://www.wikidata.org/entity/Q215,Словения
http://www.wikidata.org/entity/Q2207288,ремесло,33,китайский компас,http://www.wikidata.org/entity/Q884,Республика Корея
http://www.wikidata.org/entity/Q132241,фестиваль,31,Альмабтриб,http://www.wikidata.org/entity/Q40,Австрия
http://www.wikidata.org/entity/Q132241,фестиваль,30,Неделя ирландского языка,http://www.wikidata.org/entity/Q27,Ирландия
http://www.wikidata.org/entity/Q132241,фестиваль,29,,http://www.wikidata.org/entity/Q28,Венгрия
http://www.wikidata.org/entity/Q132241,фестиваль,29,"Фестиваль ""Разоблачения""",http://www.wikidata.org/entity/Q224,Хорватия
http://www.wikidata.org/entity/Q132241,фестиваль,28,Праздник драконьих лодок,http://www.wikidata.org/entity/Q148,Китай
http://www.wikidata.org/entity/Q132241,фестиваль,28,Эстонский праздник песни,http://www.wikidata.org/entity/Q191,Эстония
http://www.wikidata.org/entity/Q2627975,церемония,28,Церемония Первой борозды,http://www.wikidata.org/entity/Q869,Таиланд
http://www.wikidata.org/entity/Q82821,традиция,27,мифология Италии,http://www.wikidata.org/entity/Q38,Италия
http://www.wikidata.org/entity/Q132241,фестиваль,27,Фестиваль Кадырга,http://www.wikidata.org/entity/Q43,Турция
http://www.wikidata.org/entity/Q82821,традиция,26,английский фольклор,http://www.wikidata.org/entity/Q145,Великобритания
http://www.wikidata.org/entity/Q82821,традиция,26,китайский фольклор,http://www.wikidata.org/entity/Q148,Китай
http://www.wikidata.org/entity/Q82821,традиция,26,индуизм на Мартинике,http://www.wikidata.org/entity/Q142,Франция
http://www.wikidata.org/entity/Q132241,фестиваль,26,,http://www.wikidata.org/entity/Q739,Колумбия
http://www.wikidata.org/entity/Q2627975,церемония,26,,http://www.wikidata.org/entity/Q252,Индонезия
http://www.wikidata.org/entity/Q82821,традиция,25,Гжель,http://www.wikidata.org/entity/Q159,Россия
http://www.wikidata.org/entity/Q82821,традиция,24,восточнофризская чайная культура,http://www.wikidata.org/entity/Q183,Германия
http://www.wikidata.org/entity/Q132241,фестиваль,24,Праздник драконьих лодок,http://www.wikidata.org/entity/Q865,Китайская Республика (Тайвань)
http://www.wikidata.org/entity/Q2627975,церемония,24,Дурга-пуджа,http://www.wikidata.org/entity/Q668,Индия
http://www.wikidata.org/entity/Q82821,традиция,23,фольклор Квебека,http://www.wikidata.org/entity/Q16,Канада
http://www.wikidata.org/entity/Q132241,фестиваль,23,Copenhagen Pride,http://www.wikidata.org/entity/Q35,Дания
http://www.wikidata.org/entity/Q132241,фестиваль,23,Синулог,http://www.wikidata.org/entity/Q928,Филиппины
http://www.wikidata.org/entity/Q2627975,церемония,22,Рапа-дас-Бестас,http://www.wikidata.org/entity/Q29,Испания
http://www.wikidata.org/entity/Q132241,фестиваль,21,Дельфийские фестивали,http://www.wikidata.org/entity/Q41,Греция
http://www.wikidata.org/entity/Q132241,фестиваль,21,Панафинеи,http://www.wikidata.org/entity/Q844930,Древние Афины
http://www.wikidata.org/entity/Q132241,фестиваль,21,,http://www.wikidata.org/entity/Q45,Португалия
http://www.wikidata.org/entity/Q132241,фестиваль,20,День белорусской письменности,http://www.wikidata.org/entity/Q184,Беларусь
http://www.wikidata.org/entity/Q2627975,церемония,20,церемония вручения «Оскаров»,http://www.wikidata.org/entity/Q30,США
http://www.wikidata.org/entity/Q2207288,ремесло,19,,http://www.wikidata.org/entity/Q45,Португалия
http://www.wikidata.org/entity/Q132241,фестиваль,19,Матарики,http://www.wikidata.org/entity/Q664,Новая Зеландия
http://www.wikidata.org/entity/Q132241,фестиваль,19,,http://www.wikidata.org/entity/Q218,Румыния
http://www.wikidata.org/entity/Q82821,традиция,18,индуизм в Португалии,http://www.wikidata.org/entity/Q45,Португалия
http://www.wikidata.org/entity/Q82821,традиция,18,Тхэккён,http://www.wikidata.org/entity/Q884,Республика Корея
http://www.wikidata.org/entity/Q132241,фестиваль,18,,http://www.wikidata.org/entity/Q1028,Марокко
http://www.wikidata.org/entity/Q82821,традиция,17,индуизм в Армении,http://www.wikidata.org/entity/Q399,Армения
http://www.wikidata.org/entity/Q36192,фольклор,17,бельгийский фольклор,http://www.wikidata.org/entity/Q31,Бельгия
http://www.wikidata.org/entity/Q82821,традиция,16,славянское неоязычество,http://www.wikidata.org/entity/Q36,Польша
http://www.wikidata.org/entity/Q82821,традиция,16,славянское неоязычество,http://www.wikidata.org/entity/Q212,Украина
http://www.wikidata.org/entity/Q82821,традиция,15,австралийская кухня,http://www.wikidata.org/entity/Q408,Австралия
http://www.wikidata.org/entity/Q36192,фольклор,15,фольклор Индонезии,http://www.wikidata.org/entity/Q252,Индонезия
http://www.wikidata.org/entity/Q82821,традиция,14,капоэйра,http://www.wikidata.org/entity/Q155,Бразилия
http://www.wikidata.org/entity/Q132241,фестиваль,14,КинОле,http://www.wikidata.org/entity/Q801,Израиль
http://www.wikidata.org/entity/Q132241,фестиваль,14,,http://www.wikidata.org/entity/Q252,Индонезия
http://www.wikidata.org/entity/Q132241,фестиваль,14,,http://www.wikidata.org/entity/Q298,Чили
http://www.wikidata.org/entity/Q2627975,церемония,14,объявление независимости Израиля,http://www.wikidata.org/entity/Q801,Израиль
http://www.wikidata.org/entity/Q2207288,ремесло,13,,http://www.wikidata.org/entity/Q17,Япония
http://www.wikidata.org/entity/Q82821,традиция,13,Минка,http://www.wikidata.org/entity/Q419,Перу
http://www.wikidata.org/entity/Q132241,фестиваль,13,,http://www.wikidata.org/entity/Q414,Аргентина
http://www.wikidata.org/entity/Q132241,фестиваль,13,Праздник песни и танца,http://www.wikidata.org/entity/Q211,Латвия
http://www.wikidata.org/entity/Q132241,фестиваль,13,Рама-навами,http://www.wikidata.org/entity/Q837,Непал
http://www.wikidata.org/entity/Q82821,традиция,12,славянское неоязычество,http://www.wikidata.org/entity/Q184,Беларусь
http://www.wikidata.org/entity/Q82821,традиция,12,славянское неоязычество,http://www.wikidata.org/entity/Q219,Болгария
http://www.wikidata.org/entity/Q82821,традиция,12,китайский фольклор,http://www.wikidata.org/entity/Q865,Китайская Республика (Тайвань)
http://www.wikidata.org/entity/Q82821,традиция,12,панджабская кухня,http://www.wikidata.org/entity/Q843,Пакистан
http://www.wikidata.org/entity/Q132241,фестиваль,12,,http://www.wikidata.org/entity/Q419,Перу
http://www.wikidata.org/entity/Q36192,фольклор,12,мифология Италии,http://www.wikidata.org/entity/Q38,Италия
http://www.wikidata.org/entity/Q2627975,церемония,12,Праздник Федерации,http://www.wikidata.org/entity/Q142,Франция
http://www.wikidata.org/entity/Q2207288,ремесло,11,Гжель,http://www.wikidata.org/entity/Q159,Россия
http://www.wikidata.org/entity/Q82821,традиция,11,Дурга-пуджа,http://www.wikidata.org/entity/Q902,Бангладеш
http://www.wikidata.org/entity/Q82821,традиция,11,Арья самадж в Уганде,http://www.wikidata.org/entity/Q1036,Уганда
http://www.wikidata.org/entity/Q82821,традиция,11,Боевые искусства Филиппин,http://www.wikidata.org/entity/Q928,Филиппины
http://www.wikidata.org/entity/Q82821,традиция,11,фольклор Финляндии,http://www.wikidata.org/entity/Q33,Финляндия
http://www.wikidata.org/entity/Q132241,фестиваль,11,,http://www.wikidata.org/entity/Q114,Кения
http://www.wikidata.org/entity/Q132241,фестиваль,11,«Дженадрия»,http://www.wikidata.org/entity/Q851,Саудовская Аравия
http://www.wikidata.org/entity/Q36192,фольклор,11,фольклор США,http://www.wikidata.org/entity/Q30,США
http://www.wikidata.org/entity/Q82821,традиция,10,индуизм в Мексике,http://www.wikidata.org/entity/Q96,Мексика
http://www.wikidata.org/entity/Q82821,традиция,10,индуизм в Швейцарии,http://www.wikidata.org/entity/Q39,Швейцария
http://www.wikidata.org/entity/Q132241,фестиваль,10,Дивали,http://www.wikidata.org/entity/Q334,Сингапур
http://www.wikidata.org/entity/Q36192,фольклор,10,японская народная сказка,http://www.wikidata.org/entity/Q17,Япония
http://www.wikidata.org/entity/Q82821,традиция,9,Рождество в Швеции,http://www.wikidata.org/entity/Q34,Швеция
http://www.wikidata.org/entity/Q132241,фестиваль,9,Робигалии,http://www.wikidata.org/entity/Q1747689,Древний Рим
http://www.wikidata.org/entity/Q132241,фестиваль,9,Ялда,http://www.wikidata.org/entity/Q794,Иран
http://www.wikidata.org/entity/Q132241,фестиваль,9,,http://www.wikidata.org/entity/Q1009,Камерун
http://www.wikidata.org/entity/Q132241,фестиваль,9,,http://www.wikidata.org/entity/Q1008,Кот-д’Ивуар
http://www.wikidata.org/entity/Q132241,фестиваль,9,Кремницкие гэги,http://www.wikidata.org/entity/Q214,Словакия
http://www.wikidata.org/entity/Q132241,фестиваль,9,Карнеи,http://www.wikidata.org/entity/Q5690,Спарта
http://www.wikidata.org/entity/Q2627975,церемония,9,канху-тэ,http://www.wikidata.org/entity/Q148,Китай
http://www.wikidata.org/entity/Q2207288,ремесло,8,Конный промысел креветок в Оостдюнкерке,http://www.wikidata.org/entity/Q31,Бельгия
http://www.wikidata.org/entity/Q82821,традиция,8,индуизм в Австрии,http://www.wikidata.org/entity/Q40,Австрия
http://www.wikidata.org/entity/Q82821,традиция,8,славянское неоязычество,http://www.wikidata.org/entity/Q215,Словения
http://www.wikidata.org/entity/Q82821,традиция,8,чилотская мифология,http://www.wikidata.org/entity/Q298,Чили
http://www.wikidata.org/entity/Q132241,фестиваль,8,Кришна-джанмаштами,http://www.wikidata.org/entity/Q902,Бангладеш
http://www.wikidata.org/entity/Q132241,фестиваль,8,,http://www.wikidata.org/entity/Q962,Бенин
http://www.wikidata.org/entity/Q132241,фестиваль,8,,http://www.wikidata.org/entity/Q881,Вьетнам
http://www.wikidata.org/entity/Q132241,фестиваль,8,,http://www.wikidata.org/entity/Q219060,Государство Палестина
http://www.wikidata.org/entity/Q132241,фестиваль,8,Балтийский праздник песни и танца,http://www.wikidata.org/entity/Q37,Литва
http://www.wikidata.org/entity/Q132241,фестиваль,8,Международный фестиваль в Дугге,http://www.wikidata.org/entity/Q948,Тунис
http://www.wikidata.org/entity/Q36192,фольклор,8,английский фольклор,http://www.wikidata.org/entity/Q145,Великобритания
http://www.wikidata.org/entity/Q2627975,церемония,8,,http://www.wikidata.org/entity/Q155,Бразилия
http://www.wikidata.org/entity/Q82821,традиция,7,датский фольклор,http://www.wikidata.org/entity/Q35,Дания
http://www.wikidata.org/entity/Q82821,традиция,7,Ялда,http://www.wikidata.org/entity/Q794,Иран
http://www.wikidata.org/entity/Q82821,традиция,7,Русские обычаи,http://www.wikidata.org/entity/Q232,Казахстан
http://www.wikidata.org/entity/Q82821,традиция,7,индуизм в Малайзии,http://www.wikidata.org/entity/Q833,Малайзия
http://www.wikidata.org/entity/Q82821,традиция,7,славянское неоязычество,http://www.wikidata.org/entity/Q213,Чехия
http://www.wikidata.org/entity/Q132241,фестиваль,7,,http://www.wikidata.org/entity/Q262,Алжир
http://www.wikidata.org/entity/Q132241,фестиваль,7,Фестиваль Опет,http://www.wikidata.org/entity/Q79,Египет
http://www.wikidata.org/entity/Q132241,фестиваль,7,,http://www.wikidata.org/entity/Q945,Того
http://www.wikidata.org/entity/Q132241,фестиваль,7,,http://www.wikidata.org/entity/Q736,Эквадор
http://www.wikidata.org/entity/Q36192,фольклор,7,русская сказка,http://www.wikidata.org/entity/Q159,Россия
http://www.wikidata.org/entity/Q36192,фольклор,7,баскский сельский спорт,http://www.wikidata.org/entity/Q142,Франция
http://www.wikidata.org/entity/Q2627975,церемония,7,,http://www.wikidata.org/entity/Q31,Бельгия
http://www.wikidata.org/entity/Q2627975,церемония,7,MOBO Awards,http://www.wikidata.org/entity/Q145,Великобритания
http://www.wikidata.org/entity/Q2627975,церемония,7,Цзи Ли (церемония),http://www.wikidata.org/entity/Q884,Республика Корея
http://www.wikidata.org/entity/Q2627975,церемония,7,Рождество в Швеции,http://www.wikidata.org/entity/Q34,Швеция
http://www.wikidata.org/entity/Q2207288,ремесло,6,окрашивание яиц,http://www.wikidata.org/entity/Q794,Иран
http://www.wikidata.org/entity/Q82821,традиция,6,индуизм в Венгрии,http://www.wikidata.org/entity/Q28,Венгрия
http://www.wikidata.org/entity/Q82821,традиция,6,Mos maiorum,http://www.wikidata.org/entity/Q1747689,Древний Рим
http://www.wikidata.org/entity/Q82821,традиция,6,тайское приветствие,http://www.wikidata.org/entity/Q869,Таиланд
http://www.wikidata.org/entity/Q132241,фестиваль,6,Праздник граната,http://www.wikidata.org/entity/Q227,Азербайджан
http://www.wikidata.org/entity/Q132241,фестиваль,6,Тбилисоба,http://www.wikidata.org/entity/Q230,Грузия
http://www.wikidata.org/entity/Q132241,фестиваль,6,Понгал,http://www.wikidata.org/entity/Q833,Малайзия
http://www.wikidata.org/entity/Q132241,фестиваль,6,,http://www.wikidata.org/entity/Q843,Пакистан
http://www.wikidata.org/entity/Q132241,фестиваль,6,Деценалия,http://www.wikidata.org/entity/Q2277,Римская империя
http://www.wikidata.org/entity/Q132241,фестиваль,6,Дивали,http://www.wikidata.org/entity/Q730,Суринам
http://www.wikidata.org/entity/Q2627975,церемония,6,,http://www.wikidata.org/entity/Q408,Австралия
http://www.wikidata.org/entity/Q2627975,церемония,6,Дурга-пуджа,http://www.wikidata.org/entity/Q902,Бангладеш
http://www.wikidata.org/entity/Q2627975,церемония,6,восточнофризская чайная культура,http://www.wikidata.org/entity/Q183,Германия
http://www.wikidata.org/entity/Q2627975,церемония,6,,http://www.wikidata.org/entity/Q33,Финляндия
http://www.wikidata.org/entity/Q2207288,ремесло,5,алжирская вышивка,http://www.wikidata.org/entity/Q262,Алжир
http://www.wikidata.org/entity/Q2207288,ремесло,5,испанская вышивка,http://www.wikidata.org/entity/Q29,Испания
http://www.wikidata.org/entity/Q2207288,ремесло,5,Странствующие подмастерья,http://www.wikidata.org/entity/Q142,Франция
http://www.wikidata.org/entity/Q82821,традиция,5,славянское неоязычество,http://www.wikidata.org/entity/Q225,Босния и Герцеговина
http://www.wikidata.org/entity/Q82821,традиция,5,Крав-мага,http://www.wikidata.org/entity/Q801,Израиль
http://www.wikidata.org/entity/Q82821,традиция,5,уд,http://www.wikidata.org/entity/Q796,Ирак
http://www.wikidata.org/entity/Q82821,традиция,5,лесосплав,http://www.wikidata.org/entity/Q211,Латвия
http://www.wikidata.org/entity/Q82821,традиция,5,писанка,http://www.wikidata.org/entity/Q218,Румыния
http://www.wikidata.org/entity/Q82821,традиция,5,индуизм в Сингапуре,http://www.wikidata.org/entity/Q334,Сингапур
http://www.wikidata.org/entity/Q82821,традиция,5,Аския,http://www.wikidata.org/entity/Q265,Узбекистан
http://www.wikidata.org/entity/Q82821,традиция,5,славянское неоязычество,http://www.wikidata.org/entity/Q224,Хорватия
http://www.wikidata.org/entity/Q132241,фестиваль,5,,http://www.wikidata.org/entity/Q225,Босния и Герцеговина
http://www.wikidata.org/entity/Q132241,фестиваль,5,Каравон,http://www.wikidata.org/entity/Q15180,СССР
http://www.wikidata.org/entity/Q132241,фестиваль,5,Галичницкая свадьба,http://www.wikidata.org/entity/Q221,Северная Македония
http://www.wikidata.org/entity/Q132241,фестиваль,5,Дивали,http://www.wikidata.org/entity/Q854,Шри-Ланка
http://www.wikidata.org/entity/Q36192,фольклор,5,фольклор Индии,http://www.wikidata.org/entity/Q668,Индия
http://www.wikidata.org/entity/Q36192,фольклор,5,китайский фольклор,http://www.wikidata.org/entity/Q865,Китайская Республика (Тайвань)
http://www.wikidata.org/entity/Q2627975,церемония,5,Международный кинофестиваль «Фаджр»,http://www.wikidata.org/entity/Q794,Иран
http://www.wikidata.org/entity/Q2627975,церемония,5,Обручение с морем,http://www.wikidata.org/entity/Q38,Италия
http://www.wikidata.org/entity/Q2627975,церемония,5,,http://www.wikidata.org/entity/Q16,Канада
http://www.wikidata.org/entity/Q2627975,церемония,5,,http://www.wikidata.org/entity/Q833,Малайзия
http://www.wikidata.org/entity/Q1131696,обряд перехода,4,Гэмпуку,http://www.wikidata.org/entity/Q17,Япония
http://www.wikidata.org/entity/Q2207288,ремесло,4,Sunsilk,http://www.wikidata.org/entity/Q145,Великобритания
http://www.wikidata.org/entity/Q2207288,ремесло,4,качская вышивка,http://www.wikidata.org/entity/Q668,Индия
http://www.wikidata.org/entity/Q2207288,ремесло,4,окрашивание яиц,http://www.wikidata.org/entity/Q36,Польша
http://www.wikidata.org/entity/Q82821,традиция,4,Искусство тканья азербайджанских ковров,http://www.wikidata.org/entity/Q227,Азербайджан
http://www.wikidata.org/entity/Q82821,традиция,4,индуизм в Андорре,http://www.wikidata.org/entity/Q228,Андорра
http://www.wikidata.org/entity/Q82821,традиция,4,Рождество в Аргентине,http://www.wikidata.org/entity/Q414,Аргентина
http://www.wikidata.org/entity/Q82821,традиция,4,индуизм во Вьетнаме,http://www.wikidata.org/entity/Q881,Вьетнам
http://www.wikidata.org/entity/Q82821,традиция,4,индуизм в Гане,http://www.wikidata.org/entity/Q117,Гана
http://www.wikidata.org/entity/Q82821,традиция,4,Охота на крапивника,http://www.wikidata.org/entity/Q27,Ирландия
http://www.wikidata.org/entity/Q82821,традиция,4,индуизм в Камбодже,http://www.wikidata.org/entity/Q424,Камбоджа
http://www.wikidata.org/entity/Q82821,традиция,4,индуизм в Мьянме,http://www.wikidata.org/entity/Q836,Мьянма
http://www.wikidata.org/entity/Q82821,традиция,4,славянское неоязычество,http://www.wikidata.org/entity/Q403,Сербия
http://www.wikidata.org/entity/Q82821,традиция,4,,http://www.wikidata.org/entity/Q948,Тунис
http://www.wikidata.org/entity/Q82821,традиция,4,индуизм в Южной Азии,http://www.wikidata.org/entity/Q854,Шри-Ланка
http://www.wikidata.org/entity/Q132241,фестиваль,4,Театральный Лори,http://www.wikidata.org/entity/Q399,Армения
http://www.wikidata.org/entity/Q132241,фестиваль,4,,http://www.wikidata.org/entity/Q122443,Аттика
http://www.wikidata.org/entity/Q132241,фестиваль,4,,http://www.wikidata.org/entity/Q750,Боливия
http://www.wikidata.org/entity/Q132241,фестиваль,4,Ферия дель Соль,http://www.wikidata.org/entity/Q717,Венесуэла
http://www.wikidata.org/entity/Q132241,фестиваль,4,Дивали,http://www.wikidata.org/entity/Q836,Мьянма
http://www.wikidata.org/entity/Q132241,фестиваль,4,,http://www.wikidata.org/entity/Q1032,Нигер
http://www.wikidata.org/entity/Q132241,фестиваль,4,,http://www.wikidata.org/entity/Q878,Объединённые Арабские Эмираты
http://www.wikidata.org/entity/Q132241,фестиваль,4,,http://www.wikidata.org/entity/Q971,Республика Конго
http://www.wikidata.org/entity/Q132241,фестиваль,4,,http://www.wikidata.org/entity/Q1246,Республика Косово
http://www.wikidata.org/entity/Q132241,фестиваль,4,,http://www.wikidata.org/entity/Q1041,Сенегал
http://www.wikidata.org/entity/Q132241,фестиваль,4,,http://www.wikidata.org/entity/Q236,Черногория
http://www.wikidata.org/entity/Q132241,фестиваль,4,,http://www.wikidata.org/entity/Q258,ЮАР
http://www.wikidata.org/entity/Q36192,фольклор,4,,http://www.wikidata.org/entity/Q155,Бразилия
http://www.wikidata.org/entity/Q36192,фольклор,4,фольклор Квебека,http://www.wikidata.org/entity/Q16,Канада
http://www.wikidata.org/entity/Q36192,фольклор,4,,http://www.wikidata.org/entity/Q1036,Уганда
http://www.wikidata.org/entity/Q2627975,церемония,4,,http://www.wikidata.org/entity/Q1006,Гвинея
http://www.wikidata.org/entity/Q2627975,церемония,4,кинофестиваль «Золотая лошадь»,http://www.wikidata.org/entity/Q865,Китайская Республика (Тайвань)
http://www.wikidata.org/entity/Q2627975,церемония,4,воинское приветствие,http://www.wikidata.org/entity/Q55,Нидерланды
http://www.wikidata.org/entity/Q2207288,ремесло,3,,http://www.wikidata.org/entity/Q399,Армения
http://www.wikidata.org/entity/Q2207288,ремесло,3,,http://www.wikidata.org/entity/Q155,Бразилия
